Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,806,934,1118,1065,1112,1242,1559,1110,823,731,701,647
2006,722,1061,960,811,937,759,581,729,655,476,1694,2108
2007,1918,1956,2364,2047,2095,3414,2282,1908,1624,1274,1223,1180
2008,936,1077,1471,1172,1369,1032,1116,1123,974,1142,1181,878
2009,828,849,960,800,776,708,984,1887,510,462,541,978
2010,824,993,1255,1069,1212,982,1310,1025,1042,788,888,1112
2011,594,629,981,877,896,822,951,804,842,753,695,944
2012,607,1482,705,619,708,687,632,607,603,618,585,638
2013,613,1423,917,510,539,1085,1268,1233,988,1023,1399,1289
2014,941,1206,1466,1148,1292,963,951,1134,881,976,1014,1096
2015,1003,1175,1615,1254,1341,1068,1769,2188,1949,2040,1717,1936
2016,2543,2121,2156,2729,2936,1991,1952,2109,1925,2429,2220,2465
2017,1688,3665,4235,2717,3382,2313,2530,2730,2895,2397,3740,3117
2018,3320,5290,4789,2266,4468,3673,3008,2164,2132,2152,2043,2647
2019,2346,3471,7923,2408,3840,5601,1656,1661,1565,1733,1784,3977
2020,3891,5291,3627,972,864,900,2778,2470,2675,1236,1016,1413
2021,1314,1314,1478,2218,2133,2218,3578,3446,3578,4202,4202,4202
2022,4181,4181,4703,3499,3369,3369,2362,2453,2362,3487,3348,3626
2023,3228,3099,3487,4852,4665,4852,2994,3233,3113,2954,2954,3072
2024,4555,4555,4737,3456,3594,3594,3664,4103,3371,2838,3331,3455
2025,3997,3837,4157,2641,2742,2438,0,0,0,0,0,0
